mun_id;mun_nome;latitude;longitude;capital;uf_id;siafi_id;ddd;fuso_horario
5200050;Abadia de Goiás;-167.573;-494.412;0;52;1050;62;America/Sao_Paulo
3100104;Abadia dos Dourados;-184.831;-473.916;0;31;4001;34;America/Sao_Paulo
5200100;Abadiânia;-16.197;-487.057;0;52;9201;62;America/Sao_Paulo
3100203;Abaeté;-191.551;-454.444;0;31;4003;37;America/Sao_Paulo
1500107;Abaetetuba;-172.183;-488.788;0;15;401;91;America/Sao_Paulo
2300101;Abaiara;-734.588;-390.416;0;23;1301;88;America/Sao_Paulo
2900108;Abaíra;-132.488;-416.619;0;29;3301;77;America/Sao_Paulo
2900207;Abaré;-872.073;-391.162;0;29;3303;75;America/Sao_Paulo
4100103;Abatiá;-233.049;-503.133;0;41;7401;43;America/Sao_Paulo
4200051;Abdon Batista;-276.126;-510.233;0;42;9939;49;America/Sao_Paulo
1500131;Abel Figueiredo;-495.333;-483.933;0;15;375;94;America/Sao_Paulo
4200101;Abelardo Luz;-265.716;-523.229;0;42;8001;49;America/Sao_Paulo
3100302;Abre Campo;-202.996;-424.743;0;31;4005;31;America/Sao_Paulo
2600054;Abreu e Lima;-790.072;-348.984;0;26;2631;81;America/Sao_Paulo
1700251;Abreulândia;-962.101;-491.518;0;17;337;63;America/Sao_Paulo
3100401;Acaiaca;-20.359;-431.439;0;31;4007;31;America/Sao_Paulo
2100055;Açailândia;-494.714;-475.004;0;21;961;99;America/Sao_Paulo
2900306;Acajutiba;-116.575;-380.197;0;29;3305;75;America/Sao_Paulo
1500206;Acará;-195.383;-481.985;0;15;403;91;America/Sao_Paulo
2300150;Acarape;-422.083;-387.055;0;23;1231;85;America/Sao_Paulo
2300200;Acaraú;-288.769;-401.183;0;23;1303;88;America/Sao_Paulo
2400109;Acari;-64.282;-366.347;0;24;1601;84;America/Sao_Paulo
2200053;Acauã;-821.954;-410.831;0;22;266;89;America/Sao_Paulo
4300034;Aceguá;-318.665;-541.615;0;43;1118;53;America/Sao_Paulo
2300309;Acopiara;-608.911;-39.448;0;23;1305;88;America/Sao_Paulo
5100102;Acorizal;-15.194;-563.632;0;51;9001;65;America/Porto_Velho
1200013;Acrelândia;-982.581;-668.972;0;12;643;68;America/Rio_Branco
5200134;Acreúna;-17.396;-503.749;0;52;9645;64;America/Sao_Paulo
2400208;Açu;-558.362;-36.914;0;24;1603;84;America/Sao_Paulo
3100500;Açucena;-190.671;-425.419;0;31;4009;33;America/Sao_Paulo
3500105;Adamantina;-21.682;-510.737;0;35;6101;18;America/Sao_Paulo
5200159;Adelândia;-164.127;-501.657;0;52;9769;64;America/Sao_Paulo
3500204;Adolfo;-212.325;-496.451;0;35;6103;17;America/Sao_Paulo
4100202;Adrianópolis;-246.606;-489.922;0;41;7403;41;America/Sao_Paulo
2900355;Adustina;-105.437;-381.113;0;29;3253;75;America/Sao_Paulo
2600104;Afogados da Ingazeira;-774.312;-37.631;0;26;2301;87;America/Sao_Paulo
2400307;Afonso Bezerra;-549.229;-365.075;0;24;1605;84;America/Sao_Paulo
